ESP_V (kV),Voltage,Da,Dp,R
11.0,250,0.4489560561398003,0.3190591759373169,0.0
11.0,250,11.959398810043801,8.499174644945912,0.0
11.0,250,11.987192877720801,8.518927028743153,0.0
11.0,250,12.0150098314662,8.538695676960987,0.0
11.0,250,12.04284967128,8.558480589599412,0.0
11.0,250,12.070712397162202,8.57828176665843,0.0
11.0,250,12.0985980091128,8.598099208138038,0.0
11.0,250,12.126506507131802,8.617932914038239,0.0
11.0,250,12.154437891219201,8.637782884359028,0.0
11.0,250,12.182392161375,8.65764911910041,0.0
11.0,250,12.2103693175992,8.677531618262385,0.0
11.0,250,12.2383693598918,8.697430381844951,0.0
11.0,250,12.266392288252801,8.71734540984811,0.0
11.0,250,12.2944381026822,8.737276702271856,0.0
11.0,250,12.32250680318,8.757224259116196,0.0
11.0,250,12.3505983897462,8.777188080381128,0.0
11.0,250,12.3787128623808,8.797168166066651,0.0
11.0,250,12.406850221083799,8.817164516172765,0.0
11.0,250,12.4350104658552,8.837177130699471,0.0
11.0,250,12.463193596695,8.85720600964677,0.0
11.0,250,12.4913996136032,8.877251153014658,0.0
11.0,250,12.5196285165798,8.897312560803138,0.0
11.0,250,11.9316276284352,8.47943852556926,0.0
11.0,250,12.5478803056248,8.917390233012211,0.0
11.0,250,11.903879332895,8.459718670613201,0.0
11.0,250,11.848451400019801,8.420327753962857,0.0
11.0,250,11.271985090348801,8.010650986707082,0.0
11.0,250,11.2992070063158,8.029996759989537,0.0
11.0,250,11.3264518083512,8.049358797692584,0.0
11.0,250,11.353719496455001,8.068737099816223,0.0
11.0,250,11.3810100706272,8.088131666360452,0.0
11.0,250,11.4083235308678,8.107542497325273,0.0
11.0,250,11.435659877176802,8.126969592710687,0.0
11.0,250,11.463019109554201,8.146412952516691,0.0
11.0,250,11.490401228000001,8.165872576743286,0.0
11.0,250,11.5178062325142,8.185348465390474,0.0
11.0,250,11.5452341230968,8.20484061845825,0.0
11.0,250,11.5726848997478,8.224349035946622,0.0
11.0,250,11.6001585624672,8.243873717855584,0.0
11.0,250,11.627655111255,8.263414664185138,0.0
11.0,250,11.6551745461112,8.282971874935281,0.0
11.0,250,11.6827168670358,8.302545350106017,0.0
11.0,250,11.7102820740288,8.322135089697346,0.0
11.0,250,11.7378701670902,8.341741093709265,0.0
11.0,250,11.76548114622,8.361363362141775,0.0
11.0,250,11.7931150114182,8.381001894994878,0.0
11.0,250,11.820771762684801,8.400656692268571,0.0
11.0,250,11.876153923423201,8.440015080077734,0.0
11.0,250,11.2447860604502,7.991321477845218,0.0
11.0,250,12.5761549807382,8.937484169641875,0.0
11.0,250,12.632772989170201,8.977720836162977,0.0
11.0,250,13.377137627683801,9.506717750032593,0.0
11.0,250,13.4060759987808,9.527283354859406,0.0
11.0,250,13.4350372559462,9.547865224106815,0.0
11.0,250,13.46402139918,9.568463357774814,0.0
11.0,250,13.4930284284822,9.589077755863405,0.0
11.0,250,13.5220583438528,9.609708418372588,0.0
11.0,250,13.5511111452918,9.63035534530236,0.0
11.0,250,13.5801868327992,9.651018536652726,0.0
11.0,250,13.609285406375,9.671697992423683,0.0
11.0,250,13.638406866019201,9.692393712615232,0.0
11.0,250,13.6675512117318,9.71310569722737,0.0
11.0,250,13.6967184435128,9.733833946260102,0.0
11.0,250,13.7259085613622,9.754578459713423,0.0
11.0,250,13.755121565280001,9.775339237587339,0.0
11.0,250,13.784357455266202,9.796116279881845,0.0
11.0,250,13.8136162313208,9.81690958659694,0.0
11.0,250,13.8428978934438,9.837719157732629,0.0
11.0,250,13.872202441635201,9.858544993288909,0.0
11.0,250,13.901529875895,9.87938709326578,0.0
11.0,250,13.930880196223201,9.900245457663244,0.0
11.0,250,13.9602534026198,9.921120086481299,0.0
11.0,250,13.348222142655201,9.486168409626368,0.0
11.0,250,12.60445254192,8.95759437069213,0.0
11.0,250,13.319329543695002,9.465635333640734,0.0
11.0,250,13.261613003979802,9.424617974931241,0.0
11.0,250,12.6611163224888,8.997863566054413,0.0
11.0,250,12.6894825418758,9.018022560366443,0.0
11.0,250,12.7178716473312,9.038197819099064,0.0
11.0,250,12.746283638855,9.058389342252276,0.0
11.0,250,12.7747185164472,9.078597129826079,0.0
11.0,250,12.8031762801078,9.098821181820476,0.0
11.0,250,12.8316569298368,9.119061498235462,0.0
11.0,250,12.8601604656342,9.13931807907104,0.0
11.0,250,12.8886868875,9.15959092432721,0.0
11.0,250,12.917236195434201,9.179880034003972,0.0
11.0,250,12.9458083894368,9.200185408101325,0.0
11.0,250,12.9744034695078,9.220507046619268,0.0
11.0,250,13.0030214356472,9.240844949557804,0.0
11.0,250,13.031662287855001,9.26119911691693,0.0
11.0,250,13.060326026131202,9.28156954869665,0.0
11.0,250,13.0890126504758,9.301956244896958,0.0
11.0,250,13.117722160888801,9.322359205517861,0.0
11.0,250,13.1464545573702,9.342778430559354,0.0
11.0,250,13.17520983992,9.363213920021439,0.0
11.0,250,13.203988008538202,9.383665673904115,0.0
11.0,250,13.232789063224802,9.404133692207383,0.0
11.0,250,13.290459830803202,9.445118522075692,0.0
11.0,250,11.21760991662,7.972008233403945,0.0
11.0,250,11.190456658858201,7.9527112533832645,0.0
11.0,250,11.163326287164802,7.933430537783176,0.0
11.0,250,9.270084112995201,6.587961911891135,0.0
11.0,250,9.2955666877638,6.6060715892086375,0.0
11.0,250,9.3210721486008,6.624197530946732,0.0
11.0,250,9.3466004955062,6.642339737105417,0.0
11.0,250,9.37215172848,6.660498207684696,0.0
11.0,250,9.397725847522201,6.678672942684565,0.0
11.0,250,9.4233228526328,6.696863942105025,0.0
11.0,250,9.4489427438118,6.715071205946077,0.0
11.0,250,9.4745855210592,6.73329473420772,0.0
11.0,250,9.500251184375001,6.751534526889955,0.0
11.0,250,9.5259397337592,6.769790583992782,0.0
11.0,250,9.5516511692118,6.788062905516199,0.0
11.0,250,9.5773854907328,6.806351491460208,0.0
11.0,250,9.6031426983222,6.824656341824809,0.0
11.0,250,9.628922791980001,6.842977456610002,0.0
11.0,250,9.6547257717062,6.861314835815786,0.0
11.0,250,9.6805516375008,6.87966847944216,0.0
11.0,250,9.7064003893638,6.898038387489128,0.0
11.0,250,9.7322720272952,6.916424559956686,0.0
11.0,250,9.758166551295,6.934826996844835,0.0
11.0,250,9.7840839613632,6.953245698153576,0.0
11.0,250,9.244624424295,6.569868498994222,0.0
11.0,250,9.8100242574998,6.971680663882909,0.0
11.0,250,9.2191876216632,6.551791350517902,0.0
11.0,250,9.168382674604802,6.515685846827037,0.0
11.0,250,8.6404577160102,6.140505915645788,0.0
11.0,250,8.665368139068802,6.158208982448505,0.0
11.0,250,8.6903014481958,6.175928313671811,0.0
11.0,250,8.715257643391201,6.193663909315711,0.0
11.0,250,8.740236724655,6.211415769380201,0.0
11.0,250,8.765238691987202,6.229183893865284,0.0
11.0,250,8.7902635453878,6.246968282770957,0.0
11.0,250,8.8153112848568,6.264768936097222,0.0
11.0,250,8.840381910394202,6.282585853844079,0.0
11.0,250,8.865475422000001,6.300419036011527,0.0
11.0,250,8.890591819674201,6.318268482599565,0.0
11.0,250,8.915731103416801,6.336134193608197,0.0
11.0,250,8.9408932732278,6.354016169037418,0.0
11.0,250,8.9660783291072,6.371914408887232,0.0
11.0,250,8.991286271055001,6.389828913157638,0.0
11.0,250,9.0165170990712,6.407759681848634,0.0
11.0,250,9.0417708131558,6.4257067149602225,0.0
11.0,250,9.067047413308801,6.443670012492404,0.0
11.0,250,9.0923468995302,6.4616495744451745,0.0
11.0,250,9.11766927182,6.479645400818537,0.0
11.0,250,9.1430145301782,6.497657491612491,0.0
11.0,250,9.193773705099801,6.533730466462174,0.0
11.0,250,9.8359874397048,6.990131894032833,0.0
11.0,250,9.8619735079782,7.008599388603349,0.0
11.0,250,9.887982462320002,7.027083147594457,0.0
11.0,250,10.5988751634038,7.532292591337926,0.0
11.0,250,10.6255249276608,7.551231754105594,0.0
11.0,250,10.6521975779862,7.570187181293854,0.0
11.0,250,10.678893114380001,7.589158872902706,0.0
11.0,250,10.7056115368422,7.608146828932148,0.0
11.0,250,10.7323528453728,7.627151049382183,0.0
11.0,250,10.7591170399718,7.646171534252809,0.0
11.0,250,10.7859041206392,7.665208283544026,0.0
11.0,250,10.812714087375001,7.684261297255836,0.0
11.0,250,10.8395469401792,7.703330575388236,0.0
11.0,250,10.8664026790518,7.722416117941227,0.0
11.0,250,10.8932813039928,7.7415179249148105,0.0
11.0,250,10.920182815002201,7.760635996308986,0.0
11.0,250,10.94710721208,7.779770332123752,0.0
11.0,250,10.9740544952262,7.798920932359109,0.0
11.0,250,11.0010246644408,7.818087797015059,0.0
11.0,250,11.0280177197238,7.837270926091599,0.0
11.0,250,11.055033661075202,7.856470319588732,0.0
11.0,250,11.082072488495,7.875685977506454,0.0
11.0,250,11.109134201983201,7.89491789984477,0.0
11.0,250,11.1362188015398,7.914166086603676,0.0
11.0,250,10.5722482852152,7.51336969299085,0.0
11.0,250,10.545644293095,7.494463059064364,0.0
11.0,250,10.5190631870432,7.475572689558469,0.0
11.0,250,10.4925049670598,7.456698584473166,0.0
11.0,250,9.9140143027302,7.045583171006154,0.0
11.0,250,9.9400690292088,7.064099458838444,0.0
11.0,250,9.9661466417558,7.082632011091326,0.0
11.0,250,9.9922471403712,7.101180827764799,0.0
11.0,250,10.018370525055,7.119745908858863,0.0
11.0,250,10.0445167958072,7.138327254373519,0.0
11.0,250,10.0706859526278,7.156924864308767,0.0
11.0,250,10.0968779955168,7.175538738664606,0.0
11.0,250,10.1230929244742,7.194168877441036,0.0
11.0,250,10.1493307395,7.212815280638058,0.0
11.0,250,13.9896494950848,9.942010979719944,0.0
11.0,250,10.175591440594202,7.231477948255672,0.0
11.0,250,10.2281815009878,7.2688520767526725,0.0
11.0,250,10.2545108602872,7.287563537632059,0.0
11.0,250,10.280863105655,7.306291262932039,0.0
11.0,250,10.3072382370912,7.32503525265261,0.0
